cop	version	category	risk	description
Layout/EmptyLineAfterGuardClause	1.87.0	New features	LOW-other	Make `Layout/EmptyLineAfterGuardClause` accept the new `# simplecov:disable` and `# simplecov:enable` directive comments.
Layout/EmptyLineAfterGuardClause	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Layout/EmptyLineAfterMagicComment	1.90.0	New features	LOW-other	Add `NumberOfEmptyLines` option to `Layout/EmptyLineAfterMagicComment` to configure the minimum number of empty lines required after magic comments.
Layout/EmptyLineAfterMagicComment	1.91.0	Changes	MED-fp/fn	Recognize `warn_indent` as a magic comment. This fixes a false positive for `Layout/EmptyLineAfterMagicComment` and makes `Lint/OrderedMagicComments` and `Style/MagicCommentFormat` aware of it.
Layout/EmptyLineBetweenDefs	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Layout/EmptyLineBetweenDefs` that inserted a blank line inside a heredoc body when an endless method's body was a heredoc.
Layout/EmptyLinesAfterModuleInclusion	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/EmptyLinesAfterModuleInclusion` when a module inclusion is directly before `rescue`.
Layout/EndAlignment	1.86.0	Bug fixes	HIGH-crash/hang	Fix infinite loop in `Layout/EndAlignment` when `end` is followed by `||` or `&&`.
Layout/EndAlignment	1.86.1	Bug fixes	LOW-other	Fix `Layout/EndAlignment` cop error on an empty `begin`.
Layout/EndAlignment	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Layout/ExtraSpacing	1.90.0	Bug fixes	MED-fp/fn	Fix false negatives for `Layout/ExtraSpacing`.
Layout/ExtraSpacing	1.90.0	Changes	LOW-other	Change `AllowForAlignment` to no longer treat a same-indentation line beyond the enclosing block as an alignment anchor for `Layout/ExtraSpacing`, `Layout/SpaceAroundOperators`, and `Layout/SpaceBeforeFirstArg`.
Layout/ExtraSpacing	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/ExtraSpacing` with `ForceEqualSignAlignment` and `Layout/SpaceAroundOperators`.
Layout/ExtraSpacing	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/SpaceAroundOperators` and `Layout/ExtraSpacing` with `ForceEqualSignAlignment: true` for aligned operator assignments.
Layout/FirstArgumentIndentation	1.90.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstArgumentIndentation` when `EnforcedStyle: with_fixed_indentation` is specified for `Layout/ArgumentAlignment` and `Layout/FirstMethodArgumentLineBreak` is enabled with `AllowMultilineFinalElement: true`.
Layout/FirstArrayElementIndentation	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstArrayElementIndentation` with `Layout/ArrayAlignment` when `EnforcedStyle: with_fixed_indentation` is configured.
Layout/FirstArrayElementIndentation	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Layout/FirstHashElementIndentation	1.85.0	Bug fixes	LOW-other	Fix over-indentation when autocorrecting nested hashes with `Layout/FirstHashElementIndentation`.
Layout/FirstHashElementIndentation	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Layout/FirstMethodArgumentLineBreak	1.90.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstArgumentIndentation` when `EnforcedStyle: with_fixed_indentation` is specified for `Layout/ArgumentAlignment` and `Layout/FirstMethodArgumentLineBreak` is enabled with `AllowMultilineFinalElement: true`.
Layout/FirstParameterIndentation	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstParameterIndentation` with `Layout/ParameterAlignment` when `EnforcedStyle: with_fixed_indentation` is configured.
Layout/HashAlignment	1.89.0	Bug fixes	MED-fp/fn	Fix a false positive for `Layout/HashAlignment` when using `EnforcedHashRocketStyle: table` and a hash key spans multiple lines.
Layout/HashAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Layout/HashAlignment` when a hash value starts on the line below its key.
Layout/HashAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Layout/HashAlignment` when the first pair of a hash omits its value, and an incorrect autocorrection when a later pair does.
Layout/HashAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/ArgumentAlignment` and `Layout/HashAlignment` with separator style.
Layout/IndentationWidth	1.85.0	Bug fixes	MED-fp/fn	Fix `Layout/IndentationWidth` false positive for chained method blocks when `EnforcedStyleAlignWith` is `start_of_line`.
Layout/IndentationWidth	1.87.0	Bug fixes	LOW-other	Fix `Layout/IndentationWidth` to indent block bodies relative to the method selector for trailing-dot multi-line method chains when `EnforcedStyleAlignWith` is `relative_to_receiver`.
Layout/IndentationWidth	1.88.1	Bug fixes	MED-fp/fn	Fix a false negative for `Layout/IndentationWidth` when the body of a multiline grouped expression in parentheses is not indented.
Layout/IndentationWidth	1.89.0	New features	LOW-other	Support autocorrection for tab indentation in `Layout/IndentationWidth` and `Style/ClassAndModuleChildren`.
Layout/IndentationWidth	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Layout/IndentationWidth` on under-indented code with tab indentation.
Layout/LeadingCommentSpace	1.89.0	New features	LOW-other	Add new `AllowYARDCommentBlockSeparator` option to `Layout/LeadingCommentSpace`.
Layout/LineLength	1.86.1	Bug fixes	LOW-other	Fix an error in `Layout/LineLength` when `SplitStrings` option is enabled and `__FILE__` is used.
Layout/LineLength	1.88.2	Bug fixes	HIGH-crash/hang	Fix an infinite loop and file corruption for `Layout/LineLength` with `SplitStrings` when an over-long string is indented under a multi-line parent.
Layout/LineLength	1.89.0	Bug fixes	LOW-other	Fix `Layout/LineLength` autocorrection for endless methods with block bodies.
Layout/LineLength	1.89.0	Changes	LOW-other	Improve `Layout/LineLength` performance on files with large collection literals.
Layout/LineLength	1.89.0	Changes	LOW-other	Make `Style/IfUnlessModifier`, `Style/WhileUntilModifier`, `Style/GuardClause`, and other modifier cops respect `Layout/LineLength` exemptions (allowed patterns, cop directives, allowed URIs) when checking whether the modifier form fits on one line.
Layout/LineLength	1.90.0	Bug fixes	MED-fp/fn	Fix false negatives in `Layout/LineLength` when a constant path like `Http::UploadedFile` matches `URISchemes` case-insensitively.
Layout/LineLength	1.90.0	Bug fixes	LOW-other	Fix a regression in RuboCop 1.89 where the modifier cops could produce lines longer than `Layout/LineLength` `Max` when exemptions like `AllowedPatterns` matched the result.
Layout/LineLength	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop for `Layout/LineLength` with `SplitStrings: true` when the split point lands on a trailing space.
Layout/LineLength	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Style/EndlessMethod` when an indented method definition would exceed `Layout/LineLength` once made endless.
Layout/MultilineAssignmentLayout	1.85.0	Bug fixes	MED-fp/fn	Fix a false negative in `Layout/MultilineAssignmentLayout` when using `numblock` or `itblock` with `SupportedTypes: ['block']`.
Layout/MultilineAssignmentLayout	1.85.0	Bug fixes	LOW-other	Recognize block on different line from left side of multi-line assignment in `Layout/MultilineAssignmentLayout`.
Layout/ParameterAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstParameterIndentation` with `Layout/ParameterAlignment` when `EnforcedStyle: with_fixed_indentation` is configured.
Layout/ParameterAlignment	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Layout/SpaceAroundBlockParameters	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/SpaceAroundBlockParameters` and `Layout/SpaceInsideParens` when the two cops enforce conflicting styles for a lambda's parameter parentheses.
Layout/SpaceAroundOperators	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Layout/SpaceAroundOperators` that turned `**=` and `/=` compound assignments into `**`/`/`, dropping the assignment.
Layout/SpaceAroundOperators	1.90.0	Changes	LOW-other	Change `AllowForAlignment` to no longer treat a same-indentation line beyond the enclosing block as an alignment anchor for `Layout/ExtraSpacing`, `Layout/SpaceAroundOperators`, and `Layout/SpaceBeforeFirstArg`.
Layout/SpaceAroundOperators	1.90.0	Changes	LOW-other	Make `Layout/SpaceAroundOperators` aware of endless method definitions.
Layout/SpaceAroundOperators	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/ExtraSpacing` with `ForceEqualSignAlignment` and `Layout/SpaceAroundOperators`.
Layout/SpaceAroundOperators	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/SpaceAroundOperators` and `Layout/ExtraSpacing` with `ForceEqualSignAlignment: true` for aligned operator assignments.
Layout/SpaceBeforeFirstArg	1.90.0	Changes	LOW-other	Change `AllowForAlignment` to no longer treat a same-indentation line beyond the enclosing block as an alignment anchor for `Layout/ExtraSpacing`, `Layout/SpaceAroundOperators`, and `Layout/SpaceBeforeFirstArg`.
Layout/SpaceInsideParens	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/SpaceAroundBlockParameters` and `Layout/SpaceInsideParens` when the two cops enforce conflicting styles for a lambda's parameter parentheses.
Lint/AmbiguousAssignment	1.89.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/AmbiguousAssignment` when using attribute or index assignment.
Lint/AmbiguousBlockAssociation	1.89.0	Changes	LOW-other	Extend `Lint/AmbiguousBlockAssociation` to detect `do...end` blocks likely intended for enumerable methods in arguments.
Lint/AmbiguousOperator	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/RedundantCopDisableDirective` and `Lint/RedundantCopEnableDirective` when a cop name in the directive is a prefix of another cop name in the same directive (e.g. `Lint/AmbiguousOperator` and `Lint/AmbiguousOperatorPrecedence`).
Lint/AmbiguousOperatorPrecedence	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/RedundantCopDisableDirective` and `Lint/RedundantCopEnableDirective` when a cop name in the directive is a prefix of another cop name in the same directive (e.g. `Lint/AmbiguousOperator` and `Lint/AmbiguousOperatorPrecedence`).
Lint/AssignmentInCondition	1.88.1	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Lint/AssignmentInCondition` and `Style/RedundantParentheses` when an assignment is a statement of a multi-statement `begin` in a condition.
Lint/AssignmentInCondition	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Lint/AssignmentInCondition` when an assignment is inside `defined?`.
Lint/AssignmentInCondition	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Style/ParenthesesAroundCondition` with `AllowSafeAssignment: false` and `Lint/AssignmentInCondition`.
Lint/ConstantReassignment	1.86.0	Bug fixes	LOW-other	Detect constant reassignment after class/module definition in `Lint/ConstantReassignment`.
Lint/ConstantReassignment	1.87.0	New features	LOW-other	Add optional Rubydex integration via `AllCops/UseProjectIndex` to enable cross-file detection in `Lint/ConstantReassignment` (experimental).
Lint/ConstantReassignment	1.89.0	Bug fixes	HIGH-crash/hang	Fix an error for `Lint/ConstantReassignment` when a built-in constant name is assigned and `UseProjectIndex` is enabled.
Lint/ConstantReassignment	1.90.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/ConstantReassignment` when a constant is assigned in compact-style namespaces (e.g. `module A::B`).
Lint/ConstantResolution	1.89.0	Changes	LOW-other	Change `Lint/ConstantResolution` to report only genuinely ambiguous constants when `UseProjectIndex` is enabled.
Lint/CopDirectiveSyntax	1.90.0	Changes	LOW-other	Make `Lint/CopDirectiveSyntax` catch keyword typos and unknown cop names.
Lint/CopDirectiveSyntax	1.91.0	Bug fixes	LOW-other	Fix `Lint/CopDirectiveSyntax` falsely reporting multiple directives when valid reason text mentions another directive.
Lint/CopDirectiveSyntax	1.91.0	Changes	LOW-other	Enable `Lint/CopDirectiveSyntax` by default, so directives that silently disable nothing are reported.
Lint/CopDirectiveSyntax	1.91.0	Changes	LOW-other	Remove `Style/DoubleCopDisableDirective`, superseded by `Lint/CopDirectiveSyntax`, which now reports and corrects more than one directive on a line.
Lint/Debugger	1.88.2	Changes	LOW-other	Improve `Lint/Debugger` performance on code without debugger calls.
Lint/DuplicateMethods	1.86.0	Bug fixes	MED-fp/fn	Fix false negatives for `Lint/DuplicateMethods` when duplicate methods are defined in anonymous classes and modules not assigned to a constant.
Lint/DuplicateMethods	1.86.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/DuplicateMethods` when modules blocks are passed as method arguments.
Lint/DuplicateMethods	1.86.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/DuplicateMethods` when the same method is defined in different anonymous module blocks passed to a no-receiver call (e.g. `stub_const`).
Lint/DuplicateMethods	1.86.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/DuplicateMethods` when the same method is defined in anonymous module blocks passed to different receivers.
Lint/DuplicateMethods	1.86.1	Bug fixes	MED-fp/fn	Fix `Lint/DuplicateMethods` false positives for anonymous classes in constant assignments and method return values.
Lint/DuplicateMethods	1.86.1	Bug fixes	MED-fp/fn	Fix `Lint/DuplicateMethods` false positives with anonymous classes inside blocks (e.g. RSpec `let`, `describe`).
Lint/DuplicateMethods	1.89.0	New features	LOW-other	Add `DelegatingMethods` option to `Lint/DuplicateMethods` to register custom `delegate`-shaped methods.
Lint/DuplicateMethods	1.89.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/DuplicateMethods` for anonymous classes (`Class.new`) passed as arguments to the same named-receiver method call (e.g. `T.cast`). Each `Class.new` block is an independent class, so methods defined in different blocks should not be treated as duplicates.
Lint/DuplicateMethods	1.89.0	Changes	LOW-other	Change `Lint/DuplicateMethods` to detect duplicates across files when `UseProjectIndex` is enabled.
Lint/DuplicateMethods	1.90.0	Bug fixes	LOW-other	Make `Lint/DuplicateMethods` honor `silence_redefinition_of_method` and `redefine_method` as intentional redefinitions.
Lint/DuplicateMethods	1.90.0	Changes	LOW-other	Add `AllowedCrossFilePaths` option to `Lint/DuplicateMethods` to skip cross-file duplicates in configured paths.
Lint/DuplicateMethods	1.91.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/DuplicateMethods` for singleton methods in separate anonymous classes.
Lint/EmptyConditionalBody	1.86.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/RedundantCopDisableDirective` when a `rubocop:disable` comment is used to suppress `Lint/EmptyWhen`, `Lint/EmptyConditionalBody`, `Lint/EmptyInPattern`, or `Style/SymbolProc`.
Lint/EmptyInPattern	1.86.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/RedundantCopDisableDirective` when a `rubocop:disable` comment is used to suppress `Lint/EmptyWhen`, `Lint/EmptyConditionalBody`, `Lint/EmptyInPattern`, or `Style/SymbolProc`.
Lint/EmptyWhen	1.86.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/RedundantCopDisableDirective` when a `rubocop:disable` comment is used to suppress `Lint/EmptyWhen`, `Lint/EmptyConditionalBody`, `Lint/EmptyInPattern`, or `Style/SymbolProc`.
Lint/EnsureReturn	1.88.0	Bug fixes	MED-fp/fn	Fix false positives in `Lint/EnsureReturn` and `Lint/NoReturnInBeginEndBlocks` for `return` inside a nested method definition or lambda.
Lint/ErbNewArguments	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/ErbNewArguments` when a keyword argument follows the `safe_level` argument.
Lint/FloatComparison	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/FloatComparison` when comparing against a parenthesized zero or `nil`.
Lint/IncompatibleIoSelectWithFiberScheduler	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/IncompatibleIoSelectWithFiberScheduler` when the single array argument element is a splat.
Lint/InheritException	1.89.0	Bug fixes	MED-fp/fn	Fix false negatives for `Lint/InheritException` when `Exception` is inherited indirectly through a project class (`UseProjectIndex`).
Lint/InterpolationCheck	1.85.0	Bug fixes	HIGH-autocorrect	Fix autocorrect producing `SyntaxError` in `Lint/InterpolationCheck` when single quoted string contains double quotes with invalid interpolation.
Lint/InterpolationCheck	1.88.0	Bug fixes	MED-fp/fn	Fix a false negative for `Lint/InterpolationCheck` when interpolation appears in a multiline single-quoted string.
Lint/LambdaWithoutLiteralBlock	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/LambdaWithoutLiteralBlock` that dropped safe navigation from the block argument.
Lint/LiteralAsCondition	1.89.0	Bug fixes	HIGH-crash/hang	Fix an error for `Lint/LiteralAsCondition` when a literal condition has an empty branch.
Lint/LiteralAsCondition	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/LiteralAsCondition` when the other operand is a parenthesized `return`.
Lint/LiteralAssignmentInCondition	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Lint/LiteralAssignmentInCondition` when a literal is assigned inside a block in the condition.
Lint/LiteralInInterpolation	1.88.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrects for `Lint/LiteralInInterpolation` with embedded quotes and escaped interpolation text.
Lint/LiteralInInterpolation	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/LiteralInInterpolation` when interpolated hashes contain symbols that require quoted syntax, such as `:'foo-bar'`.
Lint/LiteralInInterpolation	1.89.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Lint/LiteralInInterpolation`.
Lint/MissingCopEnableDirective	1.86.2	Bug fixes	MED-fp/fn	Fix false positive for `Lint/MissingCopEnableDirective` when `# rubocop:disable` is wrapped in a `# rubocop:push` / `# rubocop:pop` block.
